Line,LONGITUDE,LATITUDE,ELEV,LABEL,KML_STYLE,ELEVATION,Elev_filtered
D0,100.6949407,14.2847859,21.8719997,229,style,21.872,21.3633891608606
D0,100.6951724,14.2847843,20.5760002,230,style,20.576,21.08764359409
D0,100.6954041,14.2847826,20.5760002,231,style,20.576,20.8152207024553
D0,100.6956358,14.284781,21.5839996,232,style,21.584,20.5759541746042
D0,100.6958675,14.2847793,19.7250004,233,style,19.725,20.3920030228758
D0,100.6960992,14.2847777,19.1359997,234,style,19.136,20.3376255858802
D0,100.6963309,14.284776,20.5760002,235,style,20.576,20.4393870046942
D0,100.6965626,14.2847744,21.0079994,236,style,21.008,20.63490421421
D0,100.6967943,14.2847727,21.1520004,237,style,21.152,20.8570928523385
D0,100.697026,14.2847711,21.1520004,238,style,21.152,21.0709336117595
D0,100.6972576,14.2847694,21.2959995,239,style,21.296,21.2686370312308
D0,100.6974893,14.2847678,21.4400005,240,style,21.44,21.4531892440001
D0,100.697721,14.2847661,21.1520004,241,style,21.152,21.6305318669702
D0,100.698031,14.2847639,21.4400005,242,style,21.44,21.7982077524741
D0,100.6980299,14.2846143,22.448,243,style,22.448,21.9156676784389
D0,100.6980283,14.2844024,23.0240002,244,style,23.024,21.9193785802031
D0,100.6977822,14.2844042,21.4400005,245,style,21.44,21.7937364423316
D0,100.6975505,14.2844058,21.2959995,246,style,21.296,21.5997552753627
D0,100.6973189,14.2844075,21.1520004,247,style,21.152,21.38821442942
D0,100.6970872,14.2844091,21.2959995,248,style,21.296,21.179810388407
D0,100.6968555,14.2844108,21.0079994,249,style,21.008,20.9763659132031
D0,100.6966238,14.2844124,21.0079994,250,style,21.008,20.784040066417
D0,100.6963921,14.2844141,21.5779991,251,style,21.578,20.6167700088632
D0,100.6961604,14.2844157,19.4239998,252,style,19.424,20.5199712982274
D0,100.6959287,14.2844174,19.1359997,253,style,19.136,20.5886079688605
D0,100.695697,14.284419,20.9829998,254,style,20.983,20.8363896689361
D0,100.6954653,14.2844207,21.7280006,255,style,21.728,21.1643628325843
D0,100.6952336,14.2844223,21.8719997,256,style,21.872,21.4685317359822
D0,100.6950019,14.284424,21.8719997,257,style,21.872,21.6916444430527
D0,100.6947703,14.2844256,22.0160007,258,style,22.016,21.8157467807258
D0,100.6946239,14.2844267,22.0160007,259,style,22.016,21.8449703044496
D0,100.694626,14.2846638,21.7280006,260,style,21.728,21.8026532051654
D0,100.6979401,14.2858275,21.3910007,261,style,21.391,21.7256289870865
